#Codigo;posX;posY;sizeX;sizeY;tileSetColuna;tileSetLinha
0;16;16;32;32;14;0
1;16;48;32;32;14;0
2;16;80;32;32;14;0
3;16;112;32;32;14;0
4;16;144;32;32;14;0
5;16;176;32;32;14;0
6;16;208;32;32;14;0
7;16;240;32;32;14;0
8;16;272;32;32;14;0
9;16;304;32;32;14;0
10;16;336;32;32;14;0
11;16;368;32;32;14;0
12;16;400;32;32;14;0
13;16;432;32;32;14;0
14;16;464;32;32;14;0
15;16;496;32;32;14;0
16;16;528;32;32;14;0
17;16;560;32;32;14;0
18;16;592;32;32;14;0
19;16;624;32;32;14;0
20;16;656;32;32;14;0
21;208;16;32;32;14;0
22;240;16;32;32;14;0
23;272;16;32;32;14;0
24;304;16;32;32;14;0
25;336;16;32;32;14;0
26;368;16;32;32;14;0
27;400;16;32;32;14;0
28;432;16;32;32;14;0
29;464;16;32;32;14;0
30;496;16;32;32;14;0
31;528;16;32;32;14;0
32;560;16;32;32;14;0
33;592;16;32;32;14;0
34;624;16;32;32;14;0
35;976;16;32;32;14;0
36;1008;16;32;32;14;0
37;1040;16;32;32;14;0
38;1072;16;32;32;14;0
39;1104;16;32;32;14;0
40;1136;16;32;32;14;0
41;1168;16;32;32;14;0
42;1200;16;32;32;14;0
43;1232;16;32;32;14;0
44;1264;16;32;32;14;0
45;1296;16;32;32;14;0
46;1328;16;32;32;14;0
47;1360;16;32;32;14;0
48;1392;16;32;32;14;0
49;1424;16;32;32;14;0
50;1456;16;32;32;14;0
51;1488;16;32;32;14;0
52;1520;16;32;32;14;0
53;1552;16;32;32;14;0
54;1584;16;32;32;14;0
55;1584;208;32;32;14;0
56;1584;240;32;32;14;0
57;1584;272;32;32;14;0
58;1584;304;32;32;14;0
59;1584;336;32;32;14;0
60;1584;368;32;32;14;0
61;1584;400;32;32;14;0
62;1584;432;32;32;14;0
63;1584;464;32;32;14;0
64;1584;496;32;32;14;0
65;1584;528;32;32;14;0
66;1584;560;32;32;14;0
67;1584;592;32;32;14;0
68;1584;624;32;32;14;0
69;1584;656;32;32;14;0
70;1584;688;32;32;14;0
71;1584;944;32;32;14;0
72;1584;976;32;32;14;0
73;1584;1008;32;32;14;0
74;1584;1040;32;32;14;0
75;1584;1072;32;32;14;0
76;1584;1104;32;32;14;0
77;1584;1136;32;32;14;0
78;1584;1168;32;32;14;0
79;1584;1200;32;32;14;0
80;1584;1232;32;32;14;0
81;1584;1264;32;32;14;0
82;1584;1296;32;32;14;0
83;1584;1328;32;32;14;0
84;1584;1360;32;32;14;0
85;1584;1392;32;32;14;0
86;1584;1424;32;32;14;0
87;1584;1456;32;32;14;0
88;1584;1488;32;32;14;0
89;1584;1520;32;32;14;0
90;1584;1552;32;32;14;0
91;1584;1584;32;32;14;0
92;1392;1584;32;32;14;0
93;1360;1584;32;32;14;0
94;1328;1584;32;32;14;0
95;1296;1584;32;32;14;0
96;1264;1584;32;32;14;0
97;1232;1584;32;32;14;0
98;1200;1584;32;32;14;0
99;1168;1584;32;32;14;0
100;1136;1584;32;32;14;0
101;1104;1584;32;32;14;0
102;1072;1584;32;32;14;0
103;1040;1584;32;32;14;0
104;1008;1584;32;32;14;0
105;976;1584;32;32;14;0
106;16;1584;32;32;14;0
107;48;1584;32;32;14;0
108;80;1584;32;32;14;0
109;112;1584;32;32;14;0
110;144;1584;32;32;14;0
111;176;1584;32;32;14;0
112;208;1584;32;32;14;0
113;240;1584;32;32;14;0
114;272;1584;32;32;14;0
115;304;1584;32;32;14;0
116;336;1584;32;32;14;0
117;368;1584;32;32;14;0
118;400;1584;32;32;14;0
119;432;1584;32;32;14;0
120;464;1584;32;32;14;0
