#Codigo;posX;posY;sizeX;sizeY;tileSetColuna;tileSetLinha
0;784;112;32;32;12;0
1;784;80;32;32;12;0
2;784;48;32;32;12;0
3;784;16;32;32;12;0
4;752;16;32;32;12;0
5;720;16;32;32;12;0
6;688;16;32;32;12;0
7;656;16;32;32;12;0
8;624;16;32;32;12;0
9;592;16;32;32;12;0
10;560;16;32;32;12;0
11;528;16;32;32;12;0
12;208;16;32;32;12;0
13;176;16;32;32;12;0
14;144;16;32;32;12;0
15;112;16;32;32;12;0
16;80;16;32;32;12;0
17;48;16;32;32;12;0
18;16;16;32;32;12;0
19;16;48;32;32;12;0
20;16;80;32;32;12;0
21;16;112;32;32;12;0
22;16;144;32;32;12;0
23;16;176;32;32;12;0
24;16;208;32;32;12;0
25;16;240;32;32;12;0
26;16;272;32;32;12;0
27;16;304;32;32;12;0
28;16;336;32;32;12;0
29;16;368;32;32;12;0
30;16;400;32;32;12;0
31;16;432;32;32;12;0
32;16;464;32;32;12;0
33;16;496;32;32;12;0
34;16;528;32;32;12;0
35;16;560;32;32;12;0
36;16;592;32;32;12;0
37;16;624;32;32;12;0
38;16;656;32;32;12;0
39;16;688;32;32;12;0
40;16;912;32;32;12;0
41;16;944;32;32;12;0
42;16;976;32;32;12;0
43;16;1008;32;32;12;0
44;16;1040;32;32;12;0
45;16;1072;32;32;12;0
46;16;1104;32;32;12;0
47;16;1136;32;32;12;0
48;16;1168;32;32;12;0
49;16;1200;32;32;12;0
50;16;1232;32;32;12;0
51;16;1264;32;32;12;0
52;16;1296;32;32;12;0
53;16;1328;32;32;12;0
54;16;1360;32;32;12;0
55;16;1392;32;32;12;0
56;16;1424;32;32;12;0
57;16;1456;32;32;12;0
58;16;1488;32;32;12;0
59;16;1520;32;32;12;0
60;16;1552;32;32;12;0
61;784;144;32;32;12;0
62;784;176;32;32;12;0
63;784;208;32;32;12;0
64;784;240;32;32;12;0
65;784;272;32;32;12;0
66;784;304;32;32;12;0
67;784;336;32;32;12;0
68;784;368;32;32;12;0
69;784;400;32;32;12;0
70;784;432;32;32;12;0
71;784;464;32;32;12;0
72;784;496;32;32;12;0
73;784;528;32;32;12;0
74;784;560;32;32;12;0
75;784;592;32;32;12;0
76;784;624;32;32;12;0
77;784;656;32;32;12;0
78;784;688;32;32;12;0
79;784;720;32;32;12;0
80;784;752;32;32;12;0
81;784;784;32;32;12;0
82;784;816;32;32;12;0
83;784;848;32;32;12;0
84;784;880;32;32;12;0
85;784;912;32;32;12;0
86;784;944;32;32;12;0
87;784;976;32;32;12;0
88;784;1008;32;32;12;0
89;784;1040;32;32;12;0
90;784;1072;32;32;12;0
91;784;1104;32;32;12;0
92;784;1136;32;32;12;0
93;784;1168;32;32;12;0
94;784;1200;32;32;12;0
95;784;1232;32;32;12;0
96;784;1264;32;32;12;0
97;784;1296;32;32;12;0
98;784;1328;32;32;12;0
99;784;1360;32;32;12;0
100;784;1392;32;32;12;0
101;784;1424;32;32;12;0
102;784;1456;32;32;12;0
103;784;1488;32;32;12;0
104;784;1520;32;32;12;0
105;784;1552;32;32;12;0
106;784;1584;32;32;12;0
107;752;1584;32;32;12;0
108;720;1584;32;32;12;0
109;688;1584;32;32;12;0
110;656;1584;32;32;12;0
111;624;1584;32;32;12;0
112;592;1584;32;32;12;0
113;560;1584;32;32;12;0
114;528;1584;32;32;12;0
115;496;1584;32;32;12;0
116;464;1584;32;32;12;0
117;16;1584;32;32;12;0
118;48;1584;32;32;12;0
119;80;1584;32;32;12;0
120;112;1584;32;32;12;0
121;144;1584;32;32;12;0
122;176;1584;32;32;12;0
123;208;1584;32;32;12;0
124;240;1584;32;32;12;0
125;272;1584;32;32;12;0
126;304;1584;32;32;12;0
127;336;1584;32;32;12;0
128;368;1584;32;32;12;0
129;432;1584;32;32;12;0
130;240;16;32;32;12;0
131;272;16;32;32;12;0
-1;400;1344;20;20;0;0
